vector,batch,iteration,discovered_cumulative,discovered_iteration,finished_iteration,finished_total,time_taken
9,0,8,85.6874,1.70433,0,198,4
9,0,9,85.6874,0.178908,0,198,3
9,0,10,85.6874,0.047081,0,198,3
9,0,11,85.6874,0.0188324,0,198,3
9,0,12,85.6874,0.0,0,0,3
10,0,0,39.1055,39.1055,0,0,4
10,0,1,81.0452,80.0659,41,41,17
10,0,2,83.0603,81.7514,102,143,23
10,0,3,83.3333,80.9793,44,187,23
10,0,4,83.3522,74.774,5,192,22
10,0,5,83.3804,45.6026,3,195,19
10,0,6,83.3804,18.4181,0,195,12
10,0,7,83.3804,5.41431,0,195,6
10,0,8,83.3804,1.23352,0,195,4
10,0,9,83.3804,0.546139,0,195,3
10,0,10,83.3804,0.188324,0,195,3
10,0,11,83.3804,0.0376648,0,195,3
10,0,12,83.3804,0.0,0,0,3
11,0,0,35.3766,35.3766,3,3,4
11,0,1,81.3653,81.0358,36,39,16
11,0,2,84.4915,82.6742,101,140,23
11,0,3,84.887,82.0621,38,178,23
11,0,4,84.9058,78.3239,0,178,23
11,0,5,84.9058,45.951,1,179,20
11,0,6,84.9058,17.7589,1,180,12
11,0,7,84.9058,5.45198,0,180,6
11,0,8,84.9058,1.12994,0,180,4
11,0,9,84.9058,0.131827,0,180,3
11,0,10,84.9058,0.0376648,0,180,3
11,0,11,84.9058,0.0188324,0,180,3
11,0,12,84.9058,0.0,0,0,3
12,0,0,34.6704,34.6704,0,0,4
12,0,1,80.4802,80.0188,40,40,16
12,0,2,82.4294,81.1205,91,131,22
12,0,3,83.2392,81.2053,33,164,23
12,0,4,83.3428,75.4614,8,172,22
12,0,5,83.371,46.0075,2,174,19
12,0,6,83.371,19.9435,0,174,12
12,0,7,83.371,6.01695,0,174,6
12,0,8,83.371,1.47834,0,174,4
12,0,9,83.371,0.27307,0,174,3
12,0,10,83.371,0.122411,0,174,3
12,0,11,83.371,0.0188324,0,174,3
12,0,12,83.371,0.0,0,0,3
13,0,0,37.9284,37.9284,2,2,4
13,0,1,79.3974,78.8983,43,45,16
13,0,2,82.2316,81.4689,105,150,22
13,0,3,82.5047,80.1036,39,189,22
13,0,4,82.6648,76.2523,6,195,22
13,0,5,82.6836,48.7476,0,195,20
13,0,6,82.6836,19.8682,1,196,12
13,0,7,82.6836,5.70621,0,196,7
